Gene,count,mean,median,max,min,std
830,2,0.056,0.0,29.0,0.0,1.2523707248384695
9830,14,0.378,0.0,30.0,0.0,3.177296210807423
166,22,0.602,0.0,31.0,0.0,4.021662562892337
11250,1,0.026,0.0,26.0,0.0,0.8221921916437785
7982,9,0.243,0.0,30.0,0.0,2.5554806752314683
6136,1,0.024,0.0,24.0,0.0,0.7589466384404111
55177,1,0.023,0.0,23.0,0.0,0.7273238618387273
5868,5,0.131,0.0,29.0,0.0,1.85452912575626
4067,9,0.242,0.0,31.0,0.0,2.548711818141065
367,5,0.134,0.0,29.0,0.0,1.8930471805075615
5335,3,0.08,0.0,28.0,0.0,1.4600451129097798
10382,1,0.028,0.0,28.0,0.0,0.8854377448471462
51121,21,0.619,0.0,34.0,0.0,4.24191381723307
5460,6,0.166,0.0,31.0,0.0,2.1440711371223298
973,1,0.024,0.0,24.0,0.0,0.7589466384404111
26986,4,0.114,0.0,31.0,0.0,1.8028461537952303
9349,9,0.257,0.0,32.0,0.0,2.7030089265959254
6204,26,0.736,0.0,31.0,0.0,4.516713927702828
8481,8,0.222,0.0,31.0,0.0,2.47726721466475
6187,27,0.764,0.0,37.0,0.0,4.604944028922557
4853,5,0.135,0.0,29.0,0.0,1.9069377051732477
7013,12,0.333,0.0,31.0,0.0,3.02973435969068
2810,2,0.053,0.0,27.0,0.0,1.1847339762978837
4543,6,0.171,0.0,31.0,0.0,2.2046812966094707
56852,33,0.933,0.0,33.0,0.0,5.064203506688604
5966,14,0.374,0.0,30.0,0.0,3.1486565449470723
2512,10,0.267,0.0,29.0,0.0,2.6628559483760665
112,4,0.112,0.0,30.0,0.0,1.7699120284885888
109,10,0.275,0.0,29.0,0.0,2.7409647731935345
115,10,0.279,0.0,30.0,0.0,2.780087748235277
196883,1,0.027,0.0,27.0,0.0,0.8538149682454623
347688,6,0.171,0.0,31.0,0.0,2.2051352841995024
23028,23,0.629,0.0,30.0,0.0,4.107338460515425
8209,2,0.057,0.0,29.0,0.0,1.2741170960215449
4528,2,0.056,0.0,28.0,0.0,1.251571184723598
64949,9,0.248,0.0,29.0,0.0,2.6048572477741043
4722,1,0.027,0.0,27.0,0.0,0.8538149682454624
374354,6,0.164,0.0,29.0,0.0,2.1136630695481173
10008,2,0.056,0.0,28.0,0.0,1.2515711847235982
867,1,0.028,0.0,28.0,0.0,0.8854377448471459
129521,7,0.197,0.0,31.0,0.0,2.3536632577177925
3827,14,0.386,0.0,32.0,0.0,3.249240151414106
846,5,0.14,0.0,29.0,0.0,1.9779566002094966
624,4,0.112,0.0,29.0,0.0,1.7687805360147388
6288,10,0.274,0.0,30.0,0.0,2.7361305543431964
3921,2,0.06,0.0,30.0,0.0,1.3409691264895691
6154,3,0.082,0.0,28.0,0.0,1.4958320472277333
5705,2,0.059,0.0,31.0,0.0,1.3203265740953114
1026,2,0.057,0.0,29.0,0.0,1.2741170960215447
2261,14,0.376,0.0,29.0,0.0,3.1598431303798313
8243,24,0.665,0.0,31.0,0.0,4.249333104362593
51614,5,0.139,0.0,32.0,0.0,1.9686428204614859
26123,6,0.162,0.0,30.0,0.0,2.0919206801722026
5163,6,0.161,0.0,28.0,0.0,2.0763887859431316
5339,2,0.055,0.0,28.0,0.0,1.2294252667350245
57520,2,0.052,0.0,26.0,0.0,1.1621732429576266
114,2,0.056,0.0,28.0,0.0,1.251571184723598
107,1,0.026,0.0,26.0,0.0,0.8221921916437785
8451,4,0.103,0.0,27.0,0.0,1.6269720458686558
5595,5,0.143,0.0,31.0,0.0,2.0210481527256188
4113,3,0.09,0.0,32.0,0.0,1.643959428514768
6156,2,0.056,0.0,30.0,0.0,1.254766288373432
6628,2,0.06,0.0,30.0,0.0,1.3409691264895691
4690,9,0.243,0.0,29.0,0.0,2.553913364519923
57159,2,0.053,0.0,28.0,0.0,1.186422605397671
1488,3,0.078,0.0,27.0,0.0,1.4233558732593696
2642,3,0.08,0.0,29.0,0.0,1.462100454051546
8065,8,0.223,0.0,31.0,0.0,2.4910793798023527
27161,5,0.134,0.0,28.0,0.0,1.8919893296801715
7525,1,0.026,0.0,26.0,0.0,0.8221921916437785
9656,2,0.055,0.0,30.0,0.0,1.2343008136181788
3008,13,0.387,0.0,36.0,0.0,3.3877289897079588
54940,16,0.448,0.0,31.0,0.0,3.523309482533391
4088,13,0.357,0.0,30.0,0.0,3.1166110222907606
8335,14,0.414,0.0,32.0,0.0,3.4829204318696014
6165,9,0.253,0.0,36.0,0.0,2.6732259794370434
